geom,Plan_ID,File_Name,Allocation_Area,Planning_Area,Location_Description,Coordinates
POINT (1343811.9694563523 556702.5480831917),5902,BRAEBURN,Columbia,Columbia,N SIDE OF BRAEBURN RD 250' W OF CEDAR LN,"(39.1952,-76.8888)"
POINT (1367550.90623435 568161.9183951914),5799,SPRINGER PROPERTY,Ellicott City,Ellicott City,WEST SIDE OF WATERLOO RD 100' NORTH OF ELKO DR,"(39.2267,-76.8051)"
POINT (1358118.3043363541 529782.1918551922),5678,WESSEL PROPERTY,Southeast,Southeast,NW QUADRANT OF WHISKEY BOTTOM RD & MANORWOOD RD,"(39.1211,-76.8384)"
POINT (1375369.5109623484 575862.9556221925),6032,AUTUMN VIEW,Ellicott City,Ellicott City,PRANCING DEER DR AT DONCASTER DR & TERMINUS OF HUXLEY DR,"(39.2478,-76.7775)"
POINT (1355686.6808563508 527632.6507941894),6073,NORTH LAUREL PARK,Southeast,Southeast,SW OF FULTON AVE AT PARK AVE,"(39.1152,-76.8469)"
POINT (1390163.020756349 557720.4072321933),6103,SUMMER HAVEN,Elkridge,Elkridge,TERMINUS OF WINTERS LN,"(39.198,-76.7253)"
POINT (1365449.167338349 538745.8253541905),5976,WHITE PINES,Southeast,Southeast,NW SIDE OF PINE TREE RD 200' SW OF GUILFORD RD,"(39.1458,-76.8125)"
POINT (1378333.6543163508 567255.7001031917),5538,TALBOT'S LAST SHIFT,Elkridge,Elkridge,TERMINUS OF TALBOT'S LANDING,"(39.2242,-76.767)"
POINT (1359062.3297223523 546941.064290192),5852,THORNTON WOODS OVERLOOK,Columbia,Columbia,TERMINUS OF ROMMEL DRIVE,"(39.1683,-76.835)"
POINT (1394960.800930351 564050.4801891912),5815,MIAMI COURT,Elkridge,Elkridge,TERMINUS OF MIAMI CT,"(39.2154,-76.7084)"
POINT (1358635.803692352 590543.5464921929),5682,SOUTHVIEW ROAD,Ellicott City,Ellicott City,W SIDE OF SOUTHVIEW RD 400' N OF RAMSEY DR,"(39.2882,-76.8365)"
POINT (1367974.598204352 595840.8506091926),5766,KEFAUVER PROPERTY,Ellicott City,Ellicott City,E SIDE OF OLD FREDERICK RD 470' S OF DANIELS RD,"(39.3028,-76.8036)"
POINT (1351908.0286583528 537263.9475291912),5642,EMERSON,Southeast,Southeast,SW OF GORMAN RD WEST OF I-95,"(39.1417,-76.8603)"
POINT (1358480.2137983516 535829.7079851925),5950,STONE LAKE  (OAK HILL),Southeast,Southeast,"TERMINUS OF STONE LANDING PATH, GARNET ROCK GATE","(39.1378,-76.8371)"
POINT (1358590.1753263548 535886.8011921924),5798,STONE LAKE    (OAK HILL),Southeast,Southeast,SE SIDE OF WEATHERED STONE WAY,"(39.1379,-76.8367)"
POINT (1346187.195142351 534372.9220791906),5875,S.E.A. LECT SITE,Southeast,Southeast,EAST SIDE OF STANSFIELD RD 150' S OF HARDING RD,"(39.1338,-76.8805)"
POINT (1346555.9063483514 543287.8263441902),5794,KINDLER ESTATES,Southeast,Southeast,TERMINUS OF WOODSTREAM WAY,"(39.1583,-76.8792)"
POINT (1368590.1560363509 577482.293525191),5986,STONE MANOR,Ellicott City,Ellicott City,TERMINUS OF ROBERTS RD,"(39.2523,-76.8014)"
POINT (1358755.1176183522 535941.7124931905),5947,STONE LAKE  (OAK HILL),Southeast,Southeast,SE SIDE OF WEATHERED STONE WAY,"(39.1381,-76.8361)"
POINT (1368765.3009443507 577488.8392431922),5855,STONE MANOR,Ellicott City,Ellicott City,TERMINUS OF ROBERTS RD,"(39.2523,-76.8008)"
POINT (1371483.1644843519 576800.447900191),5820,WORTHINGTON FIELDS,Ellicott City,Ellicott City,TERMINUS OF GARDEN GATE CT,"(39.2504,-76.7912)"
POINT (1366452.1411723495 565323.9859911911),5924,"LAND OF WILLIAM H. BURKE JR., TRUSTEE",Columbia,Columbia,TERMINUS OF FOXCROFT WAY,"(39.2189,-76.809)"
POINT (1353908.591612354 578155.7751771901),5599,HAMMOND PROPERTY,Ellicott City,Ellicott City,NW SIDE OF FOX HILL CT AT OLD ANNAPOLIS RD,"(39.2541,-76.8532)"
POINT (1363125.8049503528 582783.9614541922),5941,GREER'S SUBDIVISION,Ellicott City,Ellicott City,EAST SIDE OF MANORDALE RD 400' N OF FOXHILL DR,"(39.2669,-76.8207)"
POINT (1383951.8948603533 560487.0640401915),5821,WHITEHEAD PROPERTY,Elkridge,Elkridge,EAST SIDE OF DUCKETTS LN 50' SOUTH OF DUCKEY'S RUN,"(39.2056,-76.7472)"
POINT (1376239.2839763537 574529.083754193),5661,BEECHWOOD OVERLOOK,Elkridge,Elkridge,SW SIDE BEECHWOOD RD 500' SE OF BONNIE BRANCH RD___________________________,"(39.2442,-76.7744)"
POINT (1359466.1832723543 582784.3251051921),5734,PARTHEMOS PROPERTY II,Ellicott City,Ellicott City,WEST SIDE OF CHATHAM RD 450' NORTH OF WAYCROSS RD__________________________,"(39.2669,-76.8336)"
POINT (1384002.3411283493 560057.228558192),5849,BLACKSTONE MANOR,Elkridge,Elkridge,E SIDE OF DUCKETT'S LN 200' N OF KARA'S WALK,"(39.2044,-76.747)"
POINT (1358865.0791463517 535965.34980819),5784,STONE LAKE,Southeast,Southeast,SOUTH SIDE OF WEATHERED STONE WAY,"(39.1381,-76.8357)"
POINT (1373364.4135123491 550319.0184291918),9431,VILLAGE TOWNS (REDLINE),,Elkridge,SE QUADRANT OF I-95 & MD RT 175,"(39.1776,-76.7846)"
POINT (1350992.9106843509 584113.1058591902),5600,CENTENNIAL LANE PROPERTY,Ellicott City,Ellicott City,EAST SIDE OF CENTENNIAL LN SOUTH OF BURNSIDE DR,"(39.2705,-76.8635)"
POINT (1361014.4302503504 574431.6252861898),5832,COLUMBIA HILLS,Ellicott City,Ellicott City,N SIDE SYBERT DR 100' W OF MEADOWBROOK LN,"(39.2439,-76.8281)"
POINT (1359384.5623443536 583025.4257181901),5702,PARTHEMOS PROPERTY,Ellicott City,Ellicott City,WEST SIDE OF CHATHAM RD 500' NORTH OF WAYCROSS RD,"(39.2675,-76.8339)"
POINT (1367357.6233423539 568788.4890681915),5563,RED HILL BRANCH OVERLOOK & KOCH PROPERTY,Ellicott City,Ellicott City,S SIDE OF HORSESHOE RD OPPOSITE ROSECROFT TERR,"(39.2284,-76.8058)"
POINT (1345694.0687023513 550817.9476011917),5755,HOLIDAY HILLS,Southeast,Southeast,S SIDE VISTA RD 800' E OF NEWBERRY DR,"(39.179,-76.8822)"
POINT (1368601.7756823525 577674.6649041902),5804,STONE MANOR,Ellicott City,Ellicott City,TERMINUS OF ROBERTS RD,"(39.2528,-76.8014)"
POINT (1354586.498764351 576912.4524081908),5788,THE OVERLOOK AT CENTENNIAL PARK,Ellicott City,Ellicott City,NE SIDE OF OLD ANNAPOLIS RD 200' S OF NATALIES WAY,"(39.2507,-76.8508)"
POINT (1340663.3287963495 537603.5975631904),5511,CHERRYTREE PARK,Southeast,Southeast,SE QUADRANT OF US RT 29 & MD RT 216,"(39.1426,-76.9)"
POINT (1367817.8746863492 592452.350591192),5722,APPLE GROVE SUBDIVISION,Ellicott City,Ellicott City,W SIDE OF HIGH RIDGE RD 300' N OF ROSEMAR DR,"(39.2935,-76.8041)"
POINT (1376418.1131623536 563197.7185941935),5783,ROCKBURN VIEW,Elkridge,Elkridge,EAST SIDE OF BRANDON'S WAY SOUTH SIDE OF MONTGOMERY RD,"(39.213,-76.7738)"
POINT (1384022.7463603504 560034.6821961924),5394,BLACKSTONE MANOR,Elkridge,Elkridge,E SIDE DUCKETTS LN 200' N OF KARA'S WALK_,"(39.2043,-76.747)"
POINT (1350194.2725763507 574731.2737101912),5779,LAUER PROPERTY,Ellicott City,Ellicott City,EAST SIDE OF CENTENNIAL LN 400' SOUTH OF MAXINE ST_________________________,"(39.2447,-76.8663)"
POINT (1367908.8480123505 570458.0108091924),5693,BAGEANT PROPERTY,Ellicott City,Ellicott City,TERMINUS OF WEST GROVE RD,"(39.233,-76.8038)"
POINT (1335112.2554743513 561991.4882271923),5735,FOREST HILLS,Columbia,Columbia,W SIDE OF TROTTER RD OPPOSITE SOUTH WIND CIRCLE,"(39.2097,-76.9195)"
POINT (1390359.4211143516 557549.1276111901),5688,WINTERS RIDGE,Elkridge,Elkridge,NE SIDE OF WINTERS LN 700' NW OF HANOVER RD,"(39.1975,-76.7246)"
POINT (1351120.443384353 537099.213626191),5622,EMERSON,Southeast,Southeast,SW OF GORMAN RD WEST OF I-95______,"(39.1412,-76.8631)"
POINT (1362716.8500923477 579573.2867751904),5451,VIEW TOP ESTATES,Ellicott City,Ellicott City,EAST SIDE OF HIGH POINT RD 200' N OF ST. JOHN'S LN_________________________,"(39.258,-76.8221)"
POINT (1391034.494206354 556496.721617192),5696,WEST POINT,Elkridge,Elkridge,E SIDE OF HANOVER RD 200' S OF HANOVER CROSSING WAY,"(39.1946,-76.7222)"
POINT (1334883.8302383497 557596.4022411909),5775,THE BOARMAN ESTATE,Columbia,Columbia,EAST SIDE OF TROTTER RD NORTH OF SUMMER SUNRISE DR,"(39.1976,-76.9203)"
POINT (1350200.2241023518 574954.1917731911),5415,EAST SIDE,Ellicott City,Ellicott City,SOUTH SIDE OF MAXINE ST 300' EAST OF CENTENNIAL LN,"(39.2453,-76.8663)"
POINT (1351019.2674423493 537216.3092481922),5554,EMERSON,Southeast,Southeast,SW OF GORMAN RD WEST OF I-95__,"(39.1416,-76.8634)"
POINT (1351889.607268352 537228.3097311929),5589,EMERSON,Southeast,Southeast,NW OF GERMAN RD WEST OF I-95,"(39.1416,-76.8603)"
POINT (1367847.0655043535 580543.871294193),5574,HIDDEN VALLEY,Ellicott City,Ellicott City,TERMINUS OF ELLICOTT VIEW RD,"(39.2607,-76.804)"
POINT (1349678.7570623495 530581.4967531916),5720,FERGUSON PROPERTY,Southeast,Southeast,EAST SIDE OF DUMHART RD 550' N OF STANSFIELD RD,"(39.1233,-76.8681)"
POINT (1361175.4048583508 597279.0903141927),5239,PATAPSCO PARK ESTATES,Ellicott City,Ellicott City,MOUNT HEBRON DR & ELIZA DORSEY DR,"(39.3067,-76.8276)"
POINT (1361139.9791083522 597730.7448561918),5033,PATAPSCO PARK ESTATES,Ellicott City,Ellicott City,N SIDE OF MT HEBRON DR 200' W OF ELIZA DORSEY LN,"(39.308,-76.8277)"
POINT (1381559.098002348 562930.4351091906),4955,ROCKBURN WOODS,Senior East,Elkridge,N SIDE OF MONTGOMERY RD 500' W OF RUXTON DR,"(39.2123,-76.7557)"
POINT (1368401.6910463497 554248.9947861917),5501,MEADOWLARK,Columbia,Columbia,N SIDE LARK BROWN RD 150' W OF PAINTED ROCK RD,"(39.1884,-76.8021)"
POINT (1351693.49031635 536758.47263919),5515,EMERSON,Southeast,Southeast,SW OF GORMAN RD WEST OF I-95,"(39.1403,-76.861)"
POINT (1349204.0520123504 529861.1041221917),5671,LISHEAR PROPERTY,Southeast,Southeast,S SIDE STANSFIELD RD OPPOSITE DUMHART RD,"(39.1213,-76.8698)"
POINT (1376593.2580703497 570844.5718221907),5375,LOWE PROPERTY,Elkridge,Elkridge,W SIDE OF ILCHESTER RD 700' S OF LANDING RD,"(39.234,-76.7732)"
POINT (1374012.8464403525 562200.5875521917),5191,THE COURTYARDS AT THE TIMBERS,Senior East,Elkridge,N OF RT 100 BETWEEN MEADOWRIDGE RD & SHADY OAK LN,"(39.2103,-76.7823)"
POINT (1372785.9818663523 568000.8210021928),5167,SCHATZ PROPERTY,Elkridge,Elkridge,TERMINUS OF FONT AVE,"(39.2262,-76.7866)"
POINT (1377620.8882263526 562913.7071631923),5725,ROCKBURN VIEW,Elkridge,Elkridge,S SIDE OF MONTGOMERY RD,"(39.2122,-76.7695)"
POINT (1300679.56009835 585816.0834921915),4195,THE VILLAS AT CATTAIL CREEK,Rural West,Rural West,W SIDE OF RT 97 900' S OF COUNTRYSIDE DR,"(39.2752,-77.041)"
POINT (1370529.2198883519 589830.7905321922),5620,THE OAKS,Ellicott City,Ellicott City,SW SIDE OF EDGEWOOD RD,"(39.2863,-76.7946)"
POINT (1352928.5736643486 537711.2382591907),5392,EMERSON,Southeast,Southeast,SW OF GORMAN RD WEST OF I-95___,"(39.1429,-76.8567)"
POINT (1349920.2189743482 575320.7519811913),5514,EAST SIDE,Ellicott City,Ellicott City,NE QUADRANT OF CENTENNIAL LN & MAXINE ST,"(39.2464,-76.8673)"
POINT (1368573.7184883505 597265.2715761904),5225,WOODS AT PATAPSCO RIM,Ellicott City,Ellicott City,SE SIDE OLD FREDERICK RD 700' N ROLLING RIDGE CT___________________________,"(39.3067,-76.8015)"
POINT (1352243.5813623518 537722.1477891915),5390,EMERSON,Southeast,Southeast,SW OF GORMAN RD WEST OF I-95,"(39.143,-76.8591)"
POINT (1338363.772512354 568377.563438192),5481,VILLAGE OF HARPER'S CHOICE,Columbia,Columbia,E SIDE OF MANORSTONE LN 1500' S OF MD RT 108,"(39.2273,-76.9081)"
POINT (1352053.982748352 537381.4068021905),5404,EMERSON,Southeast,Southeast,SW OF GORMAN RD WEST OF I-95,"(39.142,-76.8598)"
POINT (1368859.9585483521 569900.533826191),5250,CONNER PROPERTY,Ellicott City,Ellicott City,S SIDE OF GROVE RD 250' W OF WATERLOO RD_,"(39.2314,-76.8005)"
POINT (1351106.27308435 537164.3071551919),5435,EMERSON,Southeast,Southeast,SW OF GORMAN RD WEST OF I-95,"(39.1414,-76.8631)"
POINT (1352654.5200623535 537518.1395781916),5317,EMERSON,Southeast,Southeast,SW OF GORMAN RD WEST OF I-95,"(39.1424,-76.8576)"
POINT (1352108.9635123536 594492.4327011909),5417,MARTIN'S GATE,Ellicott City,Ellicott City,SOUTH SIDE OF MD RT 99 400' WEST OF ROSE TRAIL,"(39.2991,-76.8596)"
POINT (1360553.6120943502 560655.7981041912),5271,ECKERS HOLLOW,Columbia,Columbia,SE QUAD. OF OAKLAND MILLS RD & OLD MONTGOMERY RD,"(39.206,-76.8298)"
POINT (1357741.374356348 530553.1319751907),5177,KINGS ARMS,Southeast,Southeast,NE SIDE OF WHISKEY BOTTOM RD 400' S OF HARMONY LN,"(39.1232,-76.8397)"
POINT (1352262.0027523488 537950.5206171907),5366,EMERSON,Southeast,Southeast,SW OF GORMAN RD WEST OF I-95,"(39.1436,-76.859)"
POINT (1356473.699318353 535754.0685771909),5168,STONE LAKE,Southeast,Southeast,N SIDE OF GORMAN RD OPPOSITE STEPHENS RD,"(39.1375,-76.8442)"
POINT (1352932.2579423524 537705.0561921913),5389,EMERSON,Southeast,Southeast,SW OF GORMAN RD WEST OF I-95,"(39.1429,-76.8567)"
POINT (1352408.2402483523 537809.060378192),5285,EMERSON,Southeast,Southeast,SW OF GORMAN RD WEST OF I-95,"(39.1432,-76.8585)"
POINT (1352760.2305003516 537689.419199191),5355,EMERSON,Southeast,Southeast,SW OF GORMAN RD WEST OF I-95,"(39.1429,-76.8573)"
POINT (1352714.8855403513 598820.6069031917),5283,ALLENFORD,Ellicott City,Ellicott City,N SIDE GREEN CLOVER DR 500' EAST HOBSON'S CHOICE___________,"(39.311,-76.8574)"
POINT (1368466.5910203531 597196.1778861918),5219,THE WOODS AT PATAPSCO RIM,Ellicott City,Ellicott City,SE SIDE OLD FREDERICK RD 700' N ROLLING RIDGE CT,"(39.3065,-76.8019)"
POINT (1347471.0243223496 559835.0377971921),5337,GARBART PROPERTY,Columbia,Columbia,E SIDE OF JERRY'S DR 400' N OF TIMOTHY CT,"(39.2038,-76.8759)"
POINT (1347727.2233463526 556097.0691681895),5093,VILLAGE OF HICKORY RIDGE,Columbia,Columbia,N SIDE QUARTERSTAFF RD OPPOSITE BLUE ARROW CT,"(39.1935,-76.875)"
POINT (1345119.6047403514 551202.326708192),5259,HOLIDAY HILLS,Southeast,Southeast,NE QUADRANT OF NEWBERRY RD & VISTA RD,"(39.18,-76.8842)"
POINT (1365080.1727263518 589062.7596201934),4764,KAISER FARM,Ellicott City,Ellicott City,NORTH OF KAISER DR,"(39.2841,-76.8138)"
POINT (1373603.8915823512 550176.4672371913),4697,NEW COLONY VILLAGE-PHASE 7,Elkridge,Elkridge,SE QUADRANT OF I-95 & MD RT 175,"(39.1772,-76.7837)"
POINT (1359628.8583163545 585832.0841361918),5080,PARKER WOODS,Ellicott City,Ellicott City,W SIDE OF NORTH CHATHAM RD 900' N OF RT 144,"(39.2753,-76.833)"
POINT (1368307.3168483526 576353.5208211914),5071,STONE MANOR,Ellicott City,Ellicott City,STONECREST DR & POPLAR CREEK CT,"(39.2492,-76.8024)"
POINT (1350610.0291783512 529197.0773961917),5011,HILLTOP ESTATES,Southeast,Southeast,W SIDE OF SCAGGSVILLE RD N OF HIGH RIDGE RD,"(39.1195,-76.8649)"
POINT (1356890.3061383516 536778.1097931918),4582,STONE LAKE,Southeast,Southeast,N SIDE OF GORMAN RD OPPOSITE STEPHENS RD,"(39.1404,-76.8427)"
POINT (1348986.1127983518 543189.2769231908),5037,WARFIELDS RANGE II,Southeast,Southeast,EAST SIDE OF HUNTERS WAY OPPOSITE PILLA TERRA CT,"(39.158,-76.8706)"
POINT (1361580.675438352 597842.7493641917),4961,PATAPSCO PARK ESTATES,Ellicott City,Ellicott City,E SIDE OF ELIZA DORSEY LN 700' NE MT. HEBRON DR,"(39.3083,-76.8261)"
POINT (1358644.872684352 590250.8074371908),4931,SOUTHVIEW ROAD,Ellicott City,Ellicott City,W OF SOUTHVIEW RD AT RAMSEY DR,"(39.2874,-76.8365)"
POINT (1363781.8898403496 592620.7210041918),4860,THE ENCLAVE AT ELLICOTT HILLS,Ellicott City,Ellicott City,TERMINUS OF NORTH RIDGE RD,"(39.2939,-76.8184)"
POINT (1361330.42794035 597662.7421191931),4944,PATAPSCO PARK ESTATES,Ellicott City,Ellicott City,W SIDE ELIZA DORSEY DR 600' NE OF MT. HEBRON DR,"(39.3078,-76.827)"
POINT (1334547.7107223533 554613.7367391922),4498,SCOTT FARM,Columbia,Columbia,E SIDE OF WALTER SCOTT WAY,"(39.1894,-76.9215)"
POINT (1351436.1576683521 591808.32467019),4983,GRAY FOX WOODS,Ellicott City,Ellicott City,TERMINUS OF FOX HOUND RD,"(39.2917,-76.8619)"
POINT (1347931.2756663524 552831.4831881933),4969,MARTIN MANOR,Columbia,Columbia,NORTH SIDE OF MARTIN RD 300' SOUTH OF HALFCROWN CT,"(39.1845,-76.8743)"
POINT (1357534.4879763536 592901.0959251914),4855,ST. JOHN'S DELIGHT,Ellicott City,Ellicott City,S SIDE OF ST. JOHN'S LN 300' E OF SHADE DR,"(39.2947,-76.8404)"
POINT (1346676.0704923533 533505.2507931925),4897,THE HILLSIDE AT ROCKY GORGE,Southeast,Southeast,TERMINUS OF TOWER DR,"(39.1314,-76.8787)"
POINT (1338468.916138351 569789.256620191),4966,VILLAGE OF HARPER'S CHOICE,Columbia,Columbia,E SIDE OF MANORSTONE LN 300' SOUTH OF MD RT 108,"(39.2311,-76.9077)"
POINT (1330673.8341083527 561872.2106991913),4515,VILLAGE OF RIVER HILL,Columbia,Columbia,NORTH SIDE OF GREAT STAR DR OPPOSITE GENTLE CALL,"(39.2094,-76.9352)"
POINT (1380398.5504323505 563901.3832791913),4963,ROCKBURN MANOR (KRATZ PROPERTY),Elkridge,Elkridge,N SIDE OF OLD MONTGOMERY RD 1300' E OF BELLANCA DR,"(39.215,-76.7597)"
POINT (1330009.2470383495 561676.5664611906),4751,VILLAGE OF RIVER HILL,Columbia,Columbia,SE SIDE OF GREAT STAR DR AT SIGNAL BELL LN,"(39.2088,-76.9375)"
POINT (1390448.127192352 557705.861192191),4871,WINTERS RIDGE,Elkridge,Elkridge,TERMINUS OF WINTERS LN,"(39.1979,-76.7243)"
POINT (1344610.040752355 599296.989713192),4900,GTW'S WAVERLY WOODS,Ellicott City,Ellicott City,WEST SIDE OF DORCHESTER WAY,"(39.3123,-76.886)"
POINT (1354577.9965843484 537170.1255711932),4970,EMERSON (Formerly R-ED West),Southeast,Southeast,NW OF I-95 & GORMAN ROAD,"(39.1414,-76.8509)"
POINT (1354635.5280023515 537182.4897051919),4563,EMERSON (Formerly R-ED West),Southeast,Southeast,NW OF I-95 & GORMAN ROAD,"(39.1415,-76.8507)"
POINT (1351044.2071703523 588657.2887551896),4226,ORCHARD PARK CONDOMINIUM,Ellicott City,Ellicott City,E SIDE OF PINE ORCHARD LN 300' N OF CORPORATE CT,"(39.283,-76.8633)"
POINT (1364960.8588003516 588605.6503131911),4752,KAISER FARM,Ellicott City,Ellicott City,WEST SIDE OF US RT 40 1000' EAST OF NORTH RIDGE RD,"(39.2829,-76.8142)"
POINT (1370839.2660523504 559881.948776193),4402,STOCKBRIDGE OVERLOOK,Elkridge,Elkridge,E SIDE OF RT 108 N OF OLD STOCKBRIDGE DR,"(39.2039,-76.7935)"
POINT (1367799.7367023528 569221.2337581906),4671,BOCK PROPERTY,Ellicott City,Ellicott City,N SIDE OF HORSESHOE RD 100' E OF ROSECROFT TERR,"(39.2296,-76.8042)"
POINT (1373364.4135123491 550319.0184291918),4464,NEW COLONY VILLAGE-PHASE 6,Elkridge,Elkridge,SE QUADRANT OF I-95 & MD RT 175,"(39.1776,-76.7846)"
POINT (1354577.9965843484 537170.1255711932),4694,EMERSON (Formerly R-ED West),Southeast,Southeast,NW OF I-95 & GORMAN ROAD,"(39.1414,-76.8509)"
POINT (1354577.9965843484 537170.1255711932),4693,EMERSON (Formerly R-ED West),Southeast,Southeast,NW OF I-95 & GORMAN ROAD,"(39.1414,-76.8509)"
POINT (1354577.9965843484 537170.1255711932),4678,EMERSON (Formerly R-ED West),Southeast,Southeast,NW OF I-95 & GORMAN ROAD,"(39.1414,-76.8509)"
POINT (1354577.9965843484 537170.1255711932),4677,EMERSON (Formerly R-ED West),Southeast,Southeast,NW OF I-95 & GORMAN ROAD,"(39.1414,-76.8509)"
POINT (1354577.9965843484 537170.1255711932),4695,EMERSON (Formerly R-ED West),Southeast,Southeast,NW OF I-95 & GORMAN ROAD,"(39.1414,-76.8509)"
POINT (1354577.9965843484 537170.1255711932),4699,EMERSON (Formerly R-ED West),Southeast,Southeast,NW OF I-95 & GORMAN ROAD,"(39.1414,-76.8509)"
POINT (1300687.778872352 585816.4471431933),4418,THE VILLAS AT CATTAIL CREEK,Rural West,Rural West,TERMINUS OF COUNTRY CLUB DR,"(39.2752,-77.041)"
POINT (1360226.8449763544 560761.6205451917),4513,ECKERS HOLLOW,Columbia,Columbia,SE QUAD OF OAKLAND MILLS RD & OLD MONTGOMERY RD,"(39.2063,-76.8309)"
POINT (1343485.4857443534 589664.2383741904),4651,TERRA MARIA,Ellicott City,Ellicott City,SW QUADRANT OF TERRA MARIA WAY & ST. CHARLES PL,"(39.2858,-76.89)"
POINT (1367879.65719435 576188.0596161932),4701,STONE MANOR,Ellicott City,Ellicott City,WEST SIDE OF STONECREST DR NORTH OF BRITTANY DR,"(39.2487,-76.8039)"
POINT (1374821.6871643513 576504.799637191),4796,AUTUMN VIEW,Ellicott City,Ellicott City,TERMINUS OF DONCASTER DR,"(39.2496,-76.7794)"
POINT (1359530.5164343528 592283.2528761905),4506,SULLIVAN PROPERTY,Ellicott City,Ellicott City,E SIDE OF ST. JOHN'S LN 200' S OF DANA CT,"(39.293,-76.8334)"
POINT (1368712.0206163526 576382.9765521921),4771,STONE MANOR,Ellicott City,Ellicott City,TERMINUS OF STONECREST DR,"(39.2493,-76.801)"
POINT (1355373.8006323501 526802.7992121931),4472,NORTH LAUREL PARK,Southeast,Southeast,MARYLAND AVE EAST OF SEWALL AVE,"(39.1129,-76.848)"
POINT (1372016.8179823533 569631.0684351921),4453,ZANTI PROPERTY,Ellicott City,Ellicott City,NE SIDE OF MONTGOMERY RD 300' E OF STONE HILL DR,"(39.2307,-76.7893)"
POINT (1370230.5099643543 577151.3711151928),4518,WORTHINGTON FIELDS,Ellicott City,Ellicott City,EAST SIDE OF NEW CUT RD 5000' NORTH OF RT 103,"(39.2514,-76.7956)"
POINT (1393935.4380223528 562462.7799231913),4725,WESLEY WOODS,Elkridge,Elkridge,S SIDE OF OLD WASHINGTON BLVD 700' S OF US RT 1,"(39.211,-76.712)"
POINT (1373252.7515483499 572074.0758531913),4496,BONNIE BRANCH OVERLOOK,Ellicott City,Ellicott City,W SIDE OF BONNIE BRANCH RD 1800' S OF WHARF LN,"(39.2374,-76.785)"
POINT (1344428.0941003487 599424.6312141903),4491,WAVERLY WOODS,Ellicott City,Ellicott City,W SIDE OF DORCHESTER WAY S OF RT 99,"(39.3126,-76.8867)"
POINT (1365530.504860349 538520.7253851909),4525,PINE TREE OVERLOOK,Southeast,Southeast,N SIDE GLEN CT AT PINE TREE RD,"(39.1452,-76.8122)"
POINT (1355226.9963243492 594994.9983831905),4474,TREYBURN,Ellicott City,Ellicott City,N SIDE OLD FREDERICK RD 1500' E OF OLD MILL RD,"(39.3005,-76.8486)"
POINT (1382140.3637083508 551981.2671501916),4505,REBECCA DORSEY,Elkridge,Elkridge,S SIDE OF DORSEY RD 700' W OF MAGNOLIA AVE,"(39.1822,-76.7536)"
POINT (1375102.2591043524 576231.3340851925),4470,AUTUMN VIEW,Ellicott City,Ellicott City,"HIDDEN HOLLOW,WHISPERING WILLOW,HUXLEY,DONCASTER","(39.2489,-76.7784)"
POINT (1364078.3325163499 533277.9689181931),4380,STORAGE USA FACILITY,Southeast,Southeast,SE SIDE OF US RT 1 500' N OF GORMAN RD,"(39.1307,-76.8173)"
POINT (1364798.1837563515 542780.896850191),4457,NORDAU SUBDIVISION,Southeast,Southeast,S SIDE OF MISSION RD 400' NE OF JONES RD,"(39.1569,-76.8148)"
POINT (1357823.278690353 593036.0104461908),4437,ZEIGLER PROPERTY,Ellicott City,Ellicott City,N SIDE OF ST. JOHN'S LN 300' W OF MILLBROOK RD,"(39.2951,-76.8394)"
POINT (1366867.614368353 596518.3324221931),4493,REINHARDT PROPERTY,Ellicott City,Ellicott City,NORTH SIDE OF HOLLY SPRINGS CT,"(39.3046,-76.8075)"
POINT (1338030.7704623528 534648.9331881907),4459,JAMESTOWN LANDING,Southeast,Southeast,N SIDE OF HARDING RD W OF OLD COLUMBIA PIKE,"(39.1345,-76.9092)"
POINT (1385782.1308083534 559576.8455871921),4436,MILES PROPERTY,Elkridge,Elkridge,TERMINUS OF WARRENS WAY,"(39.2031,-76.7408)"
POINT (1379496.7525403537 562510.4182041921),4442,HART PROPERTY,Elkridge,Elkridge,S SIDE OF MONTGOMERY RD 1000' E OF BELLANCA DR,"(39.2111,-76.7629)"
POINT (1347607.9094203524 558977.5487391911),4454,HEINZ PROPERTY,Columbia,Columbia,NE QUADRANT OF OWEN BROWN RD & JERRY'S DR,"(39.2014,-76.8755)"
POINT (1352787.7208823524 592073.4262491912),4438,RUNKLES PROPERTY,Ellicott City,Ellicott City,W SIDE OF BETHANY LN 200' S OF FOX DEN RD,"(39.2924,-76.8572)"
POINT (1344972.5170263536 600521.7662811913),4439,TAYLOR FARM,Ellicott City,Ellicott City,TERMINUS OF RED DAHLIA DR,"(39.3157,-76.8847)"
POINT (1361666.5474563502 539461.126871191),4320,BETHEL CROSSING,Southeast,Southeast,E SIDE OF SAVAGE GUILFORD RD S OF VOLLMERHAUSEN RD,"(39.1477,-76.8258)"
POINT (1355158.9788843542 594308.4252951909),4340,TREYBURN,Ellicott City,Ellicott City,N SIDE OLD FREDERICK RD 1500' E OF OLD MILL RD,"(39.2986,-76.8488)"
POINT (1360015.4241003506 560252.8727961909),4448,ECKERS HOLLOW,Columbia,Columbia,SE QUAD OF OAKLAND MILLS RD & OLD MONTGOMERY RD,"(39.2049,-76.8317)"
